invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-41939100026,2021-11-12,5915,The Hut / Council Bluffs,1925 W Broadway,Council Bluffs,51501.0,POINT (-95.873073 41.261866),78,POTTAWATTA,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,43333,Captain Morgan Original Spiced PET,48,200,2.75,4.13,4,16.52,0.8,0.21
INV-41934300007,2021-11-12,5652,Avenue G Store / Council Bluffs,1602 Avenue G,Council Bluffs,51501.0,POINT (-95.86789 41.26712),78,POTTAWATTA,1062400.0,Spiced Rum,260.0,DIAGEO AMERICAS,43285,Captain Morgan Original Spiced PET,12,750,9.06,13.59,12,163.08,9.0,2.37
INV-41916900012,2021-11-12,4374,Kum & Go #141 / Grimes,1950 Princeton Dr,Grimes,50111.0,,77,POLK,1062400.0,Spiced Rum,259.0,Heaven Hill Brands,43026,Admiral Nelson Spiced,12,750,6.0,9.0,2,18.0,1.5,0.39
INV-41934700005,2021-11-12,4740,Walgreens #04405 / Council Bluffs,2508 W Broadway,Council Bluffs,51501.0,POINT (-95.882665 41.26194),78,POTTAWATTA,1031100.0,American Vodkas,434.0,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,12,129.12,21.0,5.54
INV-41932100002,2021-11-12,3712,Monte Spirits,109 N 4th St,Montezuma,50171.0,,79,POWESHIEK,1031100.0,American Vodkas,301.0,FIFTH GENERATION INC,38177,Titos Handmade Vodka,12,1000,12.67,19.01,24,456.24,24.0,6.34
INV-41915300017,2021-11-12,4411,KUM & GO #95 / DE SOTO,1203 Guthrie St,De Soto,50069.0,,25,DALLAS,1012400.0,Irish Whiskies,370.0,PERNOD RICARD USA,15626,Jameson,12,750,16.49,24.74,6,148.44,4.5,1.18
INV-41950400085,2021-11-12,4291,Fareway Stores #597 / Creston,105 E Adams St,Creston,50801.0,,88,UNION,1031100.0,American Vodkas,300.0,McCormick Distilling Co.,36908,McCormick 80prf Vodka PET,6,1750,7.47,11.21,6,67.26,10.5,2.77
INV-41961600036,2021-11-12,4997,Downtown Pantry,"218, 6th Ave #101",Des Moines,50309.0,,77,POLK,1031100.0,American Vodkas,626.0,JDSO INC / Red Boot Distillery,36875,Blue Ox Vodka,6,1750,7.28,10.92,6,65.52,10.5,2.77
INV-41921900244,2021-11-12,6195,DT Liquor LLC / DeWitt,301 11th Street,DeWitt,52742.0,POINT (-90.534771 41.826248),23,CLINTON,1062100.0,Gold Rum,434.0,LUXCO INC,45248,Paramount Gold Rum,6,1750,7.5,11.25,3,33.75,5.25,1.38
INV-41919800029,2021-11-12,4320,Fareway Stores #470 / Perry,1315 Willis Ave,Perry,50220.0,,25,DALLAS,1062500.0,Flavored Rum,370.0,PERNOD RICARD USA,42718,Malibu Coconut,6,1750,17.49,26.24,6,157.44,10.5,2.77
